,sr_,degree_1,degree_1_specializations,campus,key_skills
8732,9733,,Electronics  Telecommunication Engineering,MITCOE,"['EAGLE', ' MiCrosoftoffiCe', ' ProgrammingLanguageCCPP', ' SimulationSoftwareProteusMultisem', ' Goodorganizingskills', ' MATLAB', ' MySQL']"
8733,9734,,Electronics  Telecommunication Engineering,"MIT,Pune","['AmazonWebServiCes', ' C CPP', ' Arduino', ' MongoDB', ' Linux', ' Golang', 'Microcontrollers', ' Gobot', ' InternetofThings', ' MATLAB', ' SQL', ' PHP']"
8734,9735,,Electronics  Telecommunication Engineering,MIT  WPU,"['EAGLE', ' MiCrosoftoffiCe', ' ProgrammingLanguageCCPP', ' SimulationSoftwareProteusMultisem', ' Goodorganizingskills', ' MATLAB', ' MySQL']"
8735,9736,,Electronics  Telecommunication Engineering,MIT  WPU,"['EAGLE', ' MiCrosoftoffiCe', ' ProgrammingLanguageCCPP', ' SimulationSoftwareProteusMultisem', ' Goodorganizingskills', ' MATLAB', ' MySQL']"
8736,9737,,Electronics  Telecommunication Engineering,MIT  WPU,"['EAGLE', ' MiCrosoftoffiCe', ' ProgrammingLanguageCCPP', ' SimulationSoftwareProteusMultisem', ' Goodorganizingskills', ' MATLAB', ' MySQL']"
8737,9738,,Electronics  Telecommunication Engineering,"MIT,Pune","['LoRateChnology', ' C', ' MathematiCaltoolMATLAB', ' basiCsofEmbeddedCPython', ' VHDL', ' platformWindowsandUNIX', ' EDATOOLMentorGraphiCs', ' PspiCe', ' ARM7', ' Python', ' Windows']"
8738,9739,,Electronics  Telecommunication Engineering,MIT  WPU,"['EAGLE', ' MiCrosoftoffiCe', ' ProgrammingLanguageCCPP', ' SimulationSoftwareProteusMultisem', ' Goodorganizingskills', ' MATLAB', ' MySQL']"
8739,9740,,Electronics  Telecommunication Engineering,MITCOE,"['LoRateChnology', ' C', ' MathematiCaltoolMATLAB', ' basiCsofEmbeddedCPython', ' VHDL', ' platformWindowsandUNIX', ' EDATOOLMentorGraphiCs', ' PspiCe', ' ARM7', ' Python', ' Windows']"
8740,9741,,Electronics  Telecommunication Engineering,"MIT,Pune","['LoRateChnology', ' C', ' MathematiCaltoolMATLAB', ' basiCsofEmbeddedCPython', ' VHDL', ' platformWindowsandUNIX', ' EDATOOLMentorGraphiCs', ' PspiCe', ' ARM7', ' Python', ' Windows']"
8741,9742,,Electronics  Telecommunication Engineering,"MIT,Pune","['LoRateChnology', ' C', ' MathematiCaltoolMATLAB', ' basiCsofEmbeddedCPython', ' VHDL', ' platformWindowsandUNIX', ' EDATOOLMentorGraphiCs', ' PspiCe', ' ARM7', ' Python', ' Windows']"
8742,9743,,Electronics  Telecommunication Engineering,MIT  WPU,"['LoRateChnology', ' C', ' MathematiCaltoolMATLAB', ' basiCsofEmbeddedCPython', ' VHDL', ' platformWindowsandUNIX', ' EDATOOLMentorGraphiCs', ' PspiCe', ' ARM7', ' Python', ' Windows']"
8743,9744,,Electronics  Telecommunication Engineering,MIT  WPU,"['LoRateChnology', ' C', ' MathematiCaltoolMATLAB', ' basiCsofEmbeddedCPython', ' VHDL', ' platformWindowsandUNIX', ' EDATOOLMentorGraphiCs', ' PspiCe', ' ARM7', ' Python', ' Windows']"
8744,9745,,Mechanical,MITCOE,['CATIA']
8745,9746,,Mechanical,MITCOE,['CATIA']
8746,9747,,Mechanical,MITCOE,['CATIA']
8747,9748,,Mechanical,MITCOE,"['CAD', 'CAM']"
8748,9749,,Mechanical,MITCOE,"['CAD', 'CAM']"
8749,9750,,Mechanical,MITCOE,"['CAD', 'CAM']"
8750,9751,,Mechanical,MITCOE,"['CAD', 'CAM']"
8751,9752,,Mechanical,MITCOE,"['ProE', 'CATIA']"
8752,9753,,Mechanical,MITCOE,"['AutoCAD', ' PROE']"
8753,9754,,Mechanical,MITCOE,"['AutoCAD', ' PROE']"
8754,9755,,Mechanical,MITAOE,"['AutoCAD', ' PROE']"
8755,9756,,Mechanical,MITCOE,"['AutoCAD', ' PROE']"
8756,9757,,Mechanical,MITAOE,"['AutoCAD', ' PROE']"
8757,9758,,Mechanical,MITCOE,"['AutoCAD', ' PROE']"
8758,9759,,Electronics  Telecommunication Engineering,MIT  WPU,"['LoRateChnology', ' C', ' MathematiCaltoolMATLAB', ' basiCsofEmbeddedCPython', ' VHDL', ' platformWindowsandUNIX', ' EDATOOLMentorGraphiCs', ' PspiCe', ' ARM7', ' Python', ' Windows']"
8759,9760,,Mechanical,MITCOE,['CATIA']
8760,9761,,Mechanical,MITCOE,['CATIA']
8761,9762,,Mechanical,MITCOE,"['CAD', 'CAM']"
8762,9763,,Mechanical,MITAOE,['AUTOCAD']
8763,9764,,Mechanical,MITAOE,"['CAD', 'CAM']"
8764,9765,,Mechanical,MITAOE,"['CAD', 'CAM']"
8765,9766,,Mechanical,MITCOE,['AUTOCAD']
8766,9767,,Mechanical,MITCOE,"['CAD', 'CAM']"
8767,9768,,Mechanical,MITCOE,"['CAD', 'CAM']"
8768,9769,,Mechanical,MITCOE,"['CAD', 'CAM']"
8769,9770,,Mechanical,MITCOE,"['CAD', 'CAM']"
8770,9771,,Mechanical,MITAOE,"['ProE', 'CATIA']"
8771,9772,,Mechanical,MITAOE,"['ProE', 'CATIA']"
8772,9773,,Mechanical,MITAOE,"['ProE', 'CATIA']"
8773,9774,,Electronics  Telecommunication Engineering,MIT  WPU,"['LoRateChnology', ' C', ' MathematiCaltoolMATLAB', ' basiCsofEmbeddedCPython', ' VHDL', ' platformWindowsandUNIX', ' EDATOOLMentorGraphiCs', ' PspiCe', ' ARM7', ' Python', ' Windows']"
8774,9775,,Mechanical,MITCOE,['CATIA']
8775,9776,,Mechanical,MITAOE,['CATIA']
8776,9777,,Mechanical,MITAOE,['CATIA']
8777,9778,,Mechanical,MITCOE,['CATIA']
8778,9779,,Mechanical,MITCOE,['CATIA']
8779,9780,,Mechanical,MITAOE,"['CAD', 'CAM']"
8780,9781,,Mechanical,MITCOE,"['CAD', 'CAM']"
8781,9782,,Mechanical,MITAOE,['AUTOCAD']
8782,9783,,Mechanical,MITAOE,"['CAD', 'CAM']"
8783,9784,,Mechanical,MITCOE,['CATIA']
8784,9785,,Mechanical,MITAOE,['CATIA']
8785,9786,,Mechanical,MITCOE,['CATIA']
8786,9787,,Mechanical,MITCOE,"['CAD', 'CAM']"
8787,9788,,Mechanical,MITAOE,"['CAD', 'CAM']"
8788,9789,,Mechanical,MITAOE,"['ProE', 'CATIA']"
8789,9790,,Mechanical,MITCOE,"['ProE', 'CATIA']"
8790,9791,,Mechanical,MITCOE,"['ProE', 'CATIA']"
8791,9792,,Mechanical,MITCOE,"['AutoCAD', ' PROE']"
8792,9793,,Mechanical,MITCOE,"['AutoCAD', ' PROE']"
8793,9794,,Mechanical,MITCOE,"['AutoCAD', ' PROE']"
8794,9795,,Mechanical,MITCOE,"['AutoCAD', ' PROE']"
8795,9796,,Mechanical,MITCOE,"['AutoCAD', ' PROE']"
8796,9797,,Mechanical,MITAOE,"['AutoCAD', ' PROE']"
8797,9798,,Mechanical,MITCOE,"['AutoCAD', ' PROE']"
8798,9799,,Mechanical,MITCOE,"['AutoCAD', ' PROE']"
8799,9800,,Mechanical,MITCOE,"['AutoCAD', ' PROE']"
8800,9801,,Mechanical,MITCOE,"['AutoCAD', ' PROE']"
